,SBO,NETM,BL,B,G,E
V3MoC4,7.9932625,1.402822188,2.105159878,313.38,205.15,505.21
V3NbC4,7.9090525,1.45134525,2.119184196,298.35,205.9,502.18
V3NiC4,7.47148425,1.284438313,2.067712128,291.37,166.67,419.94
V3ScC4,7.1558345,1.460583688,2.144481182,258.89,184.22,446.71
V3TaC4,8.01380925,1.42568325,2.11876422,303.24,214,519.74
V3TiC4,7.47221525,1.5201335,2.100670575,289.13,208.99,505.23
V3WC4,8.154317,1.395777125,2.106889485,322.86,209.77,517.29
V3YC4,7.1977425,1.446555563,2.192923248,225.77,161.97,392.13
V3ZnC4,7.21722275,1.279925,2.108897029,263.86,148.39,374.89
V3ZrC4,7.624421,1.4845625,2.147651732,266.37,188.01,456.61
Ti3CoC4,7.066291,1.39084575,2.125566778,247.19,123.45,317.49
Ti3CrC4,7.1664065,1.545319938,2.133307454,263.45,184.41,448.57
Ti3CuC4,6.757139,1.4163005,2.153770386,224.89,135.85,339.24
Ti3FeC4,7.149622,1.396228125,2.124193905,236.87,158.39,388.56
Ti3HfC4,7.17719325,1.568667875,2.206079003,242.12,175.47,423.99
Ti3MnC4,7.142921,1.411890875,2.133995292,242.94,153.64,380.66
Ti3MoC4,7.46161525,1.505015688,2.171519873,274.91,194.62,472.39
Ti3NbC4,7.37740525,1.55353875,2.185544191,264.64,189.89,459.72
Ti3NiC4,6.939837,1.386631813,2.134072123,239.16,118.25,304.57
Ti3ScC4,6.62418725,1.562777188,2.210841177,219.71,146.65,359.87
Ti3TaC4,7.482162,1.52787675,2.185124215,270.59,195.32,472.32
Ti3VC4,7.11778375,1.5882625,2.144910571,261.64,187.39,453.82
Ti3WC4,7.62266975,1.497970625,2.17324948,286.19,204.53,495.53
Ti3YC4,6.66609525,1.548749063,2.259283242,199.12,133.73,327.8
Ti3ZnC4,6.6855755,1.3821185,2.175257024,219.77,126.07,317.51
Ti3ZrC4,7.09277375,1.586756,2.214011727,235.63,168.79,408.76
NbZrTiVC4,7.70682675,1.48390325,2.21040535,257.708,187.64,452.977
NbTaVMoC4,8.61726225,1.307712938,2.186007141,311.742,205.194,504.779
NbTaMoWC4,9.12214825,1.217420813,2.214346049,329.723,205.306,509.926
NbZrTaHfC4,8.30783025,1.369858375,2.289667427,270.973,197.728,477.12
NbZrTiHfC4,7.76623625,1.464308375,2.271573782,249.494,187.807,450.406
AlN,5.455025,1.632853,2.034247127,251,215.02,501.78
ScN,5.276686,1.562384,2.258730895,200.58,155.51,370.73
TiN,6.563068,1.609455,2.124268703,275.26,179.48,442.31
VN,7.034899,1.476725,2.059744296,310.09,160.47,410.58
CrN,6.841754,1.348083,2.06284756,192.97,96.524,248.19
MnN,6.700903,0.863463,2.06110089,223.49,37.155,105.61
FeN,6.593221,0.82421,2.039164103,134.15,83.08,206.59
CoN,6.600927,0.851291,1.999106195,301.58,67.335,188.01
NiN,6.132707,0.829413,2.030144218,259.05,81.3,220.8
CuN,5.573204,0.951802,2.08799724,199.27,65.626,177.4
ZnN,5.37614,0.844971,2.156581769,162.88,54.012,145.91
YN,5.46216,1.513776,2.445019976,160.5,123.82,295.47
ZrN,7.269827,1.455126,2.297511214,249.37,148.06,370.8
NbN,8.173688,1.303812,2.209366927,307.49,141.34,367.68
PdN,6.305638,0.703448,2.211769646,207.6,48.498,134.98
AgN,5.441087,0.636882,2.295624491,152.39,39.579,109.28
CdN,5.157222,0.816648,2.380433539,121.37,45.939,122.38
HfN,7.644962,1.383642,2.266872453,270.51,160.31,401.59
TaN,8.632318,1.18881,2.210183689,328.79,133.93,353.75
